trial_id,condition,planner,success,truth_path_available,dynamic_inserted,oracle_state,predicted_state,decision_correct,latency_ms,expansions,path_length,truth_path_length,path_length_ratio,clearance_cells,collisions,perception_precision,perception_recall,perception_f1
1,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,26.892914,2764,70.468037,70.468037,1.000000,1.000000,0,0.982659,0.982659,0.982659
1,baseline,a_star,1,1,0,SLOW,SLOW,1,1.636263,162,70.468037,70.468037,1.000000,1.000000,0,0.982659,0.982659,0.982659
1,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.647873,52,70.468037,70.468037,1.000000,1.000000,0,0.982659,0.982659,0.982659
2,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,27.014385,2765,71.053824,71.053824,1.000000,1.000000,0,0.967930,0.976471,0.972182
2,baseline,a_star,1,1,0,SLOW,SLOW,1,1.588697,207,71.053824,71.053824,1.000000,1.000000,0,0.967930,0.976471,0.972182
2,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.554733,55,71.639610,71.053824,1.008244,1.000000,0,0.967930,0.976471,0.972182
3,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,22.170675,2725,70.468037,70.468037,1.000000,1.000000,0,0.937500,0.967742,0.952381
3,baseline,a_star,0,1,0,SLOW,STOP,0,1.229458,125,70.468037,70.468037,1.000000,1.000000,1,0.937500,0.967742,0.952381
3,baseline,weighted_a_star,0,1,0,SLOW,STOP,0,0.628322,53,70.468037,70.468037,1.000000,1.000000,1,0.937500,0.967742,0.952381
4,baseline,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,21.611074,2776,70.468037,70.468037,1.000000,1.000000,1,0.954545,0.954545,0.954545
4,baseline,a_star,1,1,0,SLOW,SLOW,1,1.143690,109,70.468037,70.468037,1.000000,1.000000,0,0.954545,0.954545,0.954545
4,baseline,weighted_a_star,1,1,0,SLOW,SLOW,1,0.599462,52,70.468037,70.468037,1.000000,1.000000,0,0.954545,0.954545,0.954545
5,baseline,dijkstra_navfn_style,0,1,0,SLOW,STOP,0,17.038908,2814,71.053824,72.225397,0.983779,1.000000,2,0.966777,0.944805,0.955665
5,baseline,a_star,0,1,0,SLOW,STOP,0,1.737333,240,71.053824,72.225397,0.983779,1.000000,2,0.966777,0.944805,0.955665
5,baseline,weighted_a_star,0,1,0,SLOW,STOP,0,0.483229,58,71.639610,72.225397,0.991889,1.000000,3,0.966777,0.944805,0.955665
6,baseline,dijkstra_navfn_style,1,1,0,SLOW,SLOW,1,20.038809,2738,70.468037,69.882251,1.008382,1.000000,0,0.937838,0.969274,0.953297
