planner,condition,trials,feasible_trials,success_rate,decision_accuracy,mean_latency_ms,median_latency_ms,std_latency_ms,p95_latency_ms,fps,mean_path_length_ratio,mean_clearance_cells,mean_expansions
a_star,baseline,30,30,0.900000,0.866667,1.259055,1.087757,0.704062,2.764952,794.246689,0.999739,1.100000,137.700000
a_star,cluttered_static,30,30,0.733333,0.733333,1.972822,1.482402,2.008408,3.090805,506.888197,0.999738,1.033333,176.633333
a_star,dynamic_intrusion,30,19,0.789474,0.866667,1.465172,1.249027,0.667647,2.954579,682.513617,1.000005,0.973333,153.366667
a_star,localisation_drift,30,30,0.600000,0.600000,1.790086,1.335619,1.116085,4.237146,558.632379,1.001676,1.066667,191.333333
a_star,range_limited,30,30,0.533333,0.533333,1.408514,1.144234,0.793592,3.183660,709.968010,1.000011,1.066667,141.566667
a_star,sensor_noise,30,30,0.666667,0.666667,1.537297,1.295753,0.680706,3.011524,650.492404,1.002215,1.043333,173.566667
dijkstra_navfn_style,baseline,30,30,0.866667,0.833333,19.913510,19.641413,4.120718,26.959723,50.217165,0.999739,1.096667,2774.500000
dijkstra_navfn_style,cluttered_static,30,30,0.800000,0.800000,18.895018,17.718947,6.681331,26.087733,52.924003,0.999738,1.033333,2579.966667
dijkstra_navfn_style,dynamic_intrusion,30,19,0.684211,0.733333,19.101017,19.105553,2.973375,22.376338,52.353234,1.000005,1.003333,2681.200000
dijkstra_navfn_style,localisation_drift,30,30,0.500000,0.500000,18.175072,18.481807,2.359033,21.392773,55.020416,1.001676,1.066667,2637.200000
dijkstra_navfn_style,range_limited,30,30,0.733333,0.733333,18.784752,18.956106,1.508640,20.298389,53.234666,1.000011,1.033333,2672.033333
dijkstra_navfn_style,sensor_noise,30,30,0.666667,0.666667,18.009994,18.630174,3.025033,21.646055,55.524726,1.002215,1.073333,2646.500000
weighted_a_star,baseline,30,30,0.833333,0.800000,0.899376,0.556445,1.742044,0.889834,1111.881934,1.002771,1.096667,55.500000
weighted_a_star,cluttered_static,30,30,0.733333,0.733333,0.594091,0.596217,0.090710,0.743106,1683.242585,1.003848,1.033333,56.266667
weighted_a_star,dynamic_intrusion,30,19,0.736842,0.766667,0.594954,0.566944,0.100469,0.813218,1680.802872,1.005085,0.970000,55.666667
weighted_a_star,localisation_drift,30,30,0.733333,0.733333,0.616306,0.579661,0.146856,0.938934,1622.571571,1.006144,1.066667,60.566667
weighted_a_star,range_limited,30,30,0.500000,0.500000,0.612674,0.571878,0.171459,0.855693,1632.189120,1.002063,1.066667,54.633333
weighted_a_star,sensor_noise,30,30,0.733333,0.733333,0.573840,0.579341,0.063954,0.655940,1742.646641,1.007960,1.036667,57.233333
